ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
1,4111,Intermediate coronary,Intermediate coronary syndrome (Unstable angina)
2,4019,Hypertension NOS,Unspecified essential hypertension
3,45340,DVT/emb lower ext NOS,Venous embolism and thrombosis of unspecified deep vessels of lower extremity
4,78650,Chest pain NOS,Chest pain, unspecified
5,4109,AMI NOS,Acute myocardial infarction of unspecified site
6,4280,CHF NOS,Congestive heart failure, unspecified
7,2766,Fluid overload,Fluid overload
8,41401,Crnry athrscl natv vssl,Coronary atherosclerosis of native coronary artery
9,25010,DMI keto nt st uncntrld,Diabetes with ketoacidosis, type I, not stated as uncontrolled
10,4139,Angina pectoris NEC/NOS,Other and unspecified angina pectoris
11,4010,Malignant hypertension,Malignant essential hypertension
